0,1,2,3,4,5,6,7,8,9
MDRY,ASNI,COCR,OVIN,AYEL,CWSC,CUHL,MCHI,NWRN,
WGCD,CMRF,WJUN,IHPK,XRAM,CLPF,MWAT,CABS,TWAT,
NKNR,OBRB,ADBY,UKFO,MCPE,CDEV,NCRN,CSC1,AOK2,
NLPT,AHJK,INUC,IGOO,MBAU,CCP9,HMAR,NSPG,HKLK,
CLOP,OROC,FLSU,WMAM,HKAN,WWRX,OBEN,KKIR,NCYW,
COAR,CROS,TLGR,FLOX,MFER,NSCO,WCOU,AGRE,SWAM,
OGRM,WKLL,AQUA,IFIS,WBRF,WDIR,NBUX,CBEV,DPRI,
OALK,CKLM,WHIT,OLAG,CSMI,FPAI,WBLA,WSWA,CLYO,
IDEN,CCRA,CLKL,MFOH,HKMO,CSTO,JANC,KCIM,CCOT,
COWV,CSEC,OTOK,UDGN,ASAR,WGLI,ACAA,CMNC,NPAI,
CDVA,CMC3,LSAB,MMNN,AHIL,BRIM,CCO2,MMLK,PCHE,
CRFU,CLIF,AFYM,YLOW,NBAK,WBBL,CKYB,CLAD,WMUD,
ALGC,ICAN,WKES,NIMM,VBFK,NMOR,ONPR,WKET,PCPS,
AERV,MWDO,WPAL,CJAP,AZAR,CBDY,CALC,CHUM,MOBR,
OGAD,TCEH,IHSB,CGME,TSBS,ASHK,NLOS,OAGN,CLAP,
XMCH,CTOP,FPAW,OSLG,XDUN,CBRF,TULE,MBAL,MROS,
UCOT,WPOK,XEIG,COXR,MHIL,VMRT,CMAD,GOAK,ASMI,
ALIB,AGTR,NREN,OHOR,MWOL,CHNM,CMIA,MWSS,ACMP,
CWAL,CBLT,TCRO,CHLD,MKAB,MCCO,OSIG,MH41,XMIL,
WYTC,ASHA,MBRE,CMSA,TSHI,ASTM,YELL,ATHF,GARM,
CSLO,CMCN,XALB,MBSP,SPIN,WLNC,WCHE,CCHI,MLTF,
WHOY,WLCR,CBLV,TEAU,FOLU,ANIX,TTOW,CALA,CSAL,
VJAM,CHER,MASH,COKS,CROB,ADIX,PERI,CMCG,CSTA,
CDMC,CACT,MPLW,CPHI,WPEY,NQPK,HMAN,MMTV,MNES,
CCDZ,NCUR,I3MI,MFAR,CSTF,NMTI,CSC3,MEVA,AQUE,
MSOF,CCOC,TOMB,OCLV,SMAR,ALAK,VCRA,ABCK,AOAT,
ABNV,XSMO,OMOU,CNVF,WRAT,CFTC,MSAG,NGRC,HKOH,
AALC,TCLD,SRCW,ACHC,OBCP,MHRN,MSEN,NLEX,WINT,
TMID,CYUC,MJPK,VFAI,CPOT,CTE2,NNCP,XBRU,MMAR,
MBRN,XTRU,CJUN,OPRO,CDV2,ACAM,ASKT,ABBY,YCAT,
WLAN,MGPO,WCAM,AWUP,OPAR,IGRA,NMAJ,MTIS,ASHP,
MDRD,FJAX,IYRS,MLIH,NCOW,FSTM,CSQS,VSWE,TFAL,
CLUJ,IPIE,TLND,FCAC,WHOR,MARM,OBUE,MBLA,ISAL,
MPPH,VNAT,OBKL,CGHP,MPON,MSTK,CWSS,NPLC,ICRE,
ADEC,MSAN,OSHW,OWAG,CKNO,XPAD,AHOW,TKIR,OGER,
DRED,SFOP,CSWA,WLIN,WENU,WOWE,WEST,HORR,CLYT,
ANUU,WGRA,AKEN,MCPK,TJCR,TGRA,CCDG,HPHO,CNEE,
SBAK,CPOP,XPEC,NRUV,WMCK,IMOL,NCDI,WDEV,SWHI,
VFLA,CCOP,WSPL,GJON,MGRR,CCSC,OMUT,HKAP,CRIF,
SSHA,NDEC,CSBB,IEAG,ALMI,MOJI,GFTG,WSEW,AARM,
PASE,MBSM,LARB,OSMC,CSRO,CCAE,IMGP,XLAG,CMS2,
WBAI,TMAS,TATH,WSUM,FMER,CCWC,MAGA,CSSM,AWIG,
XJAR,MGIR,IKRI,MRAN,SORA,ASRS,ASTA,CSCE,NMON,
WABE,MBRR,ABUU,VBAC,CAGD,MHCK,CGYP,APIN,ABIL,
GPEM,WMNN,TSAB,TWHE,CPNT,MCSS,WLEI,UPRC,CBRK,
CHUR,GSTE,CCLE,CKV1,MISL,CTRA,TBAS,CBLH,CMLR,
ASSA,NBDY,GWAS,NDRY,MCLK,SPNN,CSTS,MSMI,AMTN,
PMAR,APNE,OPHI,ISKU,CINM,MDOE,WARC,ATAN,CLAB,
XMEL,RNIN,OMUL,CCCI,CLVQ,IFEN,AMUL,SHOR,OLAV,
ENTR,MCMD,GOKW,CPIU,WSTC,NSCH,ABOO,AYAN,CMVA,
KTAL,TFCL,IWEI,WSCH,IAN3,MGIN,SSV1,XSTO,AOPE,
ACHS,ATWE,CBUR,VERN,CSRT,NMCK,AVUN,CGAS,CSKU,
AMCA,CELC,CTOM,NSUN,WGRB,ATRI,MPKE,CFOU,MANT,
CROC,OOSA,FMIL,CPIK,SCSP,AREI,CJAY,ILCR,OSIL,
MWEL,NKNX,CPAL,CSDV,ATRU,CDUN,ARMC,CPFL,ACOA,
MCLE,SCON,AHOG,MMUN,ALBE,WHOZ,KCRI,TMEI,WKOS,
