OBJECTID,elevation
98674,2540.0
98689,58.0
98693,456.0
98705,97.0
98716,453.0
98766,103.0
98780,108.0
98781,111.0
98796,500.0
98807,92.0
98817,208.0
98821,105.0
98880,2179.0
98909,36.0
98911,343.0
98923,154.0
98927,106.0
98937,99.0
98949,368.0
98983,105.0
99013,136.0
99022,572.0
99023,157.0
99041,79.0
99043,2464.0
99051,109.0
99064,327.0
99072,526.0
99088,1196.0
99103,106.0
99107,106.0
99118,860.0
99130,303.0
99150,133.0
99151,2021.0
99170,2801.0
99231,45.0
99232,236.0
99296,239.0
99308,83.0
99370,106.0
99400,120.0
99407,1955.0
99412,1333.0
99419,2071.0
99431,129.0
99440,76.0
99458,107.0
99466,93.0
99491,143.0
99552,47.0
99554,268.0
99571,109.0
99622,170.0
99631,294.0
99670,260.0
99676,259.0
99687,1104.0
99706,292.0
99734,450.0
99747,698.0
99751,2006.0
99793,104.0
99822,68.0
99849,1490.0
99874,307.0
99890,111.0
99920,138.0
99959,362.0
99972,171.0
99974,68.0
99979,106.0
99986,84.0
99987,136.0
100028,445.0
100046,1652.0
100096,89.0
100099,1924.0
100114,138.0
100134,97.0
100135,84.0
100144,1331.0
100176,140.0
100200,778.0
100221,938.0
100245,2004.0
100247,844.0
100303,1141.0
100312,893.0
100316,520.0
100327,1109.0
100365,118.0
100381,102.0
100409,860.0
100474,279.0
100515,797.0
100527,107.0
100544,989.0
100561,91.0
100583,161.0
100587,1604.0
100604,1841.0
100607,278.0
100611,1864.0
100638,1051.0
100651,136.0
100669,701.0
100691,1917.0
100695,1220.0
100702,177.0
100733,0.0
100753,1452.0
100758,2750.0
100779,2039.0
100780,1300.0
100784,88.0
100791,1237.0
100801,253.0
100824,83.0
100841,1868.0
100864,761.0
100878,1362.0
100883,123.0
100884,98.0
100899,2389.0
100920,210.0
100960,406.0
100976,111.0
100979,2997.0
100987,170.0
100998,116.0
101068,46.0
101127,113.0
101176,492.0
101204,1649.0
101211,90.0
101220,112.0
101222,71.0
101241,631.0
101264,62.0
101272,157.0
101302,49.0
101310,116.0
101340,513.0
101345,99.0
101348,2562.0
101368,149.0
101378,148.0
101392,2069.0
101421,117.0
101422,87.0
101426,1646.0
101440,90.0
101455,91.0
101464,2391.0
101470,1452.0
101496,125.0
101504,597.0
101513,105.0
101518,74.0
101551,808.0
101582,1164.0
101600,73.0
101639,10.0
101648,1277.0
101649,2112.0
101679,306.0
101685,99.0
101706,2270.0
101711,2260.0
101721,1424.0
101745,1662.0
101765,120.0
101769,727.0
101792,2066.0
101822,475.0
101906,135.0
101923,142.0
101965,436.0
102018,152.0
102070,2706.0
102105,33.0
102151,107.0
102177,2254.0
102237,315.0
102245,1839.0
102285,10.0
102286,588.0
102287,43.0
102290,301.0
102353,175.0
102393,96.0
102414,2109.0
102477,124.0
102487,27.0
102492,101.0
102495,277.0
102497,101.0
102527,3106.0
102532,89.0
102535,501.0
102543,1037.0
102598,534.0
102612,100.0
102619,156.0
102630,289.0
102687,92.0
102725,275.0
102737,98.0
102756,80.0
102785,77.0
102789,284.0
102795,2015.0
102804,88.0
102811,109.0
102824,70.0
102831,144.0
102859,1409.0
102869,562.0
102888,1352.0
102900,310.0
102904,74.0
102925,2246.0
102958,1133.0
103007,1533.0
103026,350.0
103044,157.0
103064,613.0
103105,85.0
103142,87.0
103151,99.0
103209,1648.0
103235,105.0
103263,632.0
103289,1560.0
103305,995.0
103321,46.0
103324,2048.0
103332,591.0
103363,2520.0
103419,78.0
103429,170.0
103441,855.0
103456,102.0
103480,114.0
103484,737.0
103504,85.0
103519,1124.0
103539,562.0
103555,10.0
103575,1473.0
103579,800.0
103582,2530.0
103584,125.0
103606,173.0
103638,1507.0
103639,1883.0
103659,50.0
103690,300.0
103718,2224.0
103739,440.0
103765,1476.0
103782,680.0
103786,981.0
103789,1555.0
103791,543.0
103815,95.0
103817,1301.0
103824,484.0
103836,438.0
103853,1826.0
103869,3064.0
103884,715.0
103929,115.0
103957,1657.0
103973,80.0
103993,299.0
103996,524.0
104075,2211.0
104083,124.0
104094,149.0
104105,214.0
104112,105.0
104150,765.0
104154,987.0
104166,87.0
104178,706.0
104187,837.0
104191,41.0
104214,1542.0
104254,27.0
104272,488.0
104308,18.0
104321,1500.0
104337,347.0
104347,2008.0
104390,1822.0
104402,93.0
104412,1074.0
104414,2483.0
104436,128.0
104443,626.0
104452,292.0
104459,2471.0
104465,335.0
104468,331.0
104470,137.0
104481,331.0
104484,98.0
104536,2172.0
104544,145.0
104549,282.0
104559,854.0
104560,43.0
104569,93.0
104578,79.0
104583,95.0
104631,102.0
104636,102.0
104643,1600.0
104647,103.0
104672,1531.0
104674,698.0
104744,1414.0
104781,82.0
104791,1295.0
104795,1375.0
104804,124.0
104825,143.0
104833,44.0
104838,740.0
104854,1488.0
104855,139.0
104869,1053.0
104878,1768.0
104892,138.0
104895,120.0
104899,254.0
104902,119.0
104910,131.0
104961,22.0
104978,1422.0
104984,1846.0
104988,151.0
104989,2359.0
104992,105.0
104994,287.0
105004,588.0
105020,2256.0
105030,1890.0
105071,980.0
105149,116.0
105155,2828.0
105202,401.0
105251,99.0
105258,2574.0
105279,840.0
105312,163.0
105325,577.0
105327,1683.0
105368,86.0
105377,1423.0
105406,125.0
105421,688.0
105470,1864.0
105471,88.0
105473,2649.0
105500,1651.0
105504,1705.0
105542,765.0
105543,437.0
105560,400.0
105578,692.0
105635,414.0
105643,2678.0
105655,969.0
105663,720.0
105664,157.0
105671,135.0
105689,702.0
105693,965.0
105708,1563.0
105729,1674.0
105735,87.0
105752,39.0
105754,226.0
105799,1203.0
105802,757.0
105837,83.0
105849,30.0
105851,335.0
105953,102.0
106025,175.0
106028,391.0
106032,13.0
106045,139.0
106046,378.0
106052,45.0
106060,97.0
106065,95.0
106073,120.0
106080,46.0
106087,897.0
106109,1789.0
106132,62.0
106145,214.0
106166,99.0
106185,350.0
106194,98.0
106223,1826.0
106236,164.0
106248,1112.0
106302,220.0
106333,689.0
106343,2820.0
106367,683.0
106371,2009.0
106373,44.0
106389,1863.0
106400,123.0
106448,72.0
106457,149.0
106488,120.0
106492,255.0
106570,173.0
106572,2188.0
106595,1789.0
106609,4.0
106631,139.0
106644,2318.0
106671,392.0
106703,86.0
106709,931.0
106744,89.0
106792,40.0
106796,103.0
106812,65.0
106843,87.0
106867,2552.0
106889,53.0
106942,2227.0
106958,61.0
106981,66.0
106988,968.0
107017,99.0
107022,1754.0
107036,2310.0
107058,78.0
107060,107.0
107101,309.0
107114,42.0
107206,718.0
107208,2208.0
107224,2495.0
107230,227.0
107261,120.0
107276,1467.0
107292,76.0
107307,2607.0
107309,453.0
107324,160.0
107339,524.0
107358,78.0
107375,2141.0
107377,86.0
107392,1346.0
107417,154.0
107421,56.0
107427,158.0
107467,1080.0
107475,13.0
107479,1581.0
107494,331.0
107523,2708.0
107529,1141.0
107564,106.0
107568,101.0
107586,2225.0
107632,507.0
107644,1647.0
107656,147.0
107692,121.0
107698,737.0
107725,153.0
107750,1318.0
107778,2077.0
107792,91.0
107804,138.0
107831,103.0
107833,576.0
107840,433.0
107876,156.0
107905,1666.0
107922,93.0
107937,1230.0
107974,120.0
108017,578.0
108023,1099.0
108025,351.0
108113,2495.0
108134,83.0
108145,37.0
108157,1865.0
108174,414.0
108212,168.0
108214,69.0
108256,1492.0
108268,166.0
108278,443.0
108300,136.0
108319,2671.0
108361,110.0
108387,1441.0
108441,13.0
108443,1124.0
108448,153.0
108475,2267.0
108481,1045.0
108522,114.0
108540,94.0
108547,1515.0
108579,94.0
108581,79.0
108584,161.0
108609,98.0
108615,107.0
108624,804.0
108627,129.0
108664,113.0
108679,402.0
108719,127.0
108720,271.0
108754,406.0
108782,591.0
108807,1983.0
108822,685.0
108827,772.0
108829,1375.0
108833,1810.0
108849,277.0
108871,74.0
108882,87.0
108915,119.0
108919,150.0
108930,1640.0
108934,738.0
108952,771.0
109006,1251.0
109015,1153.0
109021,97.0
109022,96.0
109036,92.0
109102,1759.0
109160,163.0
109163,712.0
109207,2361.0
109211,1009.0
109219,352.0
109230,2187.0
109238,80.0
109272,772.0
109273,1846.0
109315,2327.0
109339,132.0
109373,121.0
109385,158.0
109394,330.0
109397,95.0
109439,164.0
109444,892.0
109448,118.0
109473,1369.0
109507,2017.0
109510,2015.0
109522,377.0
109535,541.0
109541,64.0
109590,1887.0
109598,117.0
109607,54.0
109614,1633.0
109632,1658.0
109634,151.0
109641,91.0
109663,90.0
109666,1218.0
109672,52.0
109674,1790.0
109684,1594.0
109692,44.0
109699,378.0
109759,40.0
109786,1674.0
109788,2002.0
109793,139.0
109800,1107.0
109804,118.0
109880,1288.0
109887,110.0
109890,287.0
109905,1117.0
109933,1039.0
109937,109.0
109939,1075.0
109971,124.0
109987,2376.0
110026,1337.0
110038,124.0
110077,148.0
110093,549.0
110095,944.0
110100,268.0
110145,954.0
110146,1794.0
110162,994.0
110163,1268.0
110180,173.0
110219,959.0
110222,2136.0
110227,1005.0
110237,359.0
110243,168.0
110270,317.0
110278,1252.0
110286,328.0
110303,179.0
110308,370.0
110310,509.0
110323,628.0
110343,237.0
110407,516.0
110412,52.0
110415,1670.0
110418,392.0
110444,69.0
110454,355.0
110487,71.0
110498,973.0
110511,788.0
110535,128.0
110538,414.0
110560,112.0
110585,1045.0
110613,97.0
110622,85.0
110623,2419.0
110636,1089.0
110640,508.0
110646,156.0
110663,2315.0
110695,1626.0
110710,305.0
110733,159.0
110780,78.0
110790,109.0
110795,1380.0
110802,75.0
110807,1021.0
110815,1243.0
110853,1647.0
110858,567.0
110902,83.0
110918,29.0
110925,159.0
110927,1762.0
110935,287.0
110957,688.0
110993,139.0
111016,86.0
111020,1992.0
111039,966.0
111066,112.0
111080,276.0
111096,74.0
111102,148.0
111109,113.0
111146,46.0
111148,121.0
111156,114.0
111164,120.0
111192,101.0
111196,103.0
111220,2643.0
111228,111.0
111230,343.0
111267,1334.0
111277,1228.0
111284,116.0
111287,156.0
111331,67.0
111375,1566.0
111411,11.0
111430,210.0
111436,121.0
111437,78.0
111442,114.0
111446,141.0
111449,1857.0
111453,1819.0
111455,131.0
111467,457.0
111474,99.0
111481,929.0
111485,2431.0
111497,111.0
111521,242.0
111568,522.0
111612,1265.0
111623,68.0
111666,664.0
111692,43.0
111703,1069.0
111726,87.0
111746,95.0
111795,125.0
111807,89.0
111810,2177.0
111814,113.0
111836,1347.0
111854,145.0
111857,254.0
111880,40.0
111922,530.0
111933,96.0
111939,101.0
111944,75.0
111968,2422.0
112015,131.0
112033,167.0
112043,138.0
112069,1724.0
112119,1014.0
112120,345.0
112139,158.0
112178,131.0
112197,2268.0
112210,726.0
112247,1035.0
112258,1130.0
112286,60.0
112327,978.0
112338,1807.0
112352,123.0
112381,2795.0
112400,83.0
112406,1939.0
112419,364.0
112472,85.0
112480,642.0
112506,51.0
112507,136.0
112527,77.0
112534,47.0
112553,407.0
112562,8.0
112565,88.0
112581,87.0
112598,143.0
112599,129.0
112620,3.0
112642,335.0
112660,97.0
112666,835.0
112672,1.0
112673,1292.0
112684,212.0
112690,1724.0
112732,81.0
112733,596.0
112745,1992.0
112780,163.0
112789,72.0
112794,84.0
112803,27.0
112808,30.0
112810,171.0
112813,145.0
112821,100.0
112865,2235.0
112869,2163.0
112882,2801.0
